,name,M/F,n,year
2224,Samantha,F,25645,1991
2225,Sarah,F,25225,1991
2226,Stephanie,F,22774,1991
2227,Jennifer,F,20673,1991
2228,Elizabeth,F,20392,1991
2229,Emily,F,20308,1991
2230,Michael,M,60785,1991
2231,Christopher,M,47104,1991
2232,Matthew,M,41640,1991
2233,Joshua,M,41218,1991
2234,Andrew,M,31532,1991
2235,Daniel,M,30917,1991
2236,James,M,30507,1991
2237,David,M,30414,1991
2238,Joseph,M,29834,1991
2239,John,M,27800,1991
2240,Ashley,F,38453,1992
2241,Jessica,F,38356,1992
2242,Amanda,F,25033,1992
2243,Brittany,F,24977,1992
2244,Sarah,F,24635,1992
2245,Samantha,F,24409,1992
2246,Emily,F,21832,1992
2247,Stephanie,F,19672,1992
2248,Elizabeth,F,19032,1992
2249,Megan,F,17842,1992
2250,Michael,M,54392,1992
2251,Christopher,M,42460,1992
2252,Matthew,M,37734,1992
2253,Joshua,M,36215,1992
2254,Andrew,M,30535,1992
2255,Brandon,M,29622,1992
2256,Daniel,M,29148,1992
2257,Tyler,M,28794,1992
2258,James,M,28503,1992
2259,David,M,28411,1992
2260,Jessica,F,34987,1993
2261,Ashley,F,34850,1993
2262,Sarah,F,24252,1993
2263,Samantha,F,23668,1993
2264,Emily,F,23595,1993
2265,Brittany,F,21724,1993
2266,Taylor,F,21267,1993
2267,Amanda,F,20811,1993
2268,Elizabeth,F,17557,1993
2269,Stephanie,F,17183,1993
2270,Michael,M,49549,1993
2271,Christopher,M,38227,1993
2272,Matthew,M,35770,1993
2273,Joshua,M,33581,1993
2274,Tyler,M,29796,1993
2275,Brandon,M,28731,1993
2276,Daniel,M,28685,1993
2277,Nicholas,M,28107,1993
2278,Jacob,M,27484,1993
2279,Andrew,M,27319,1993
2280,Jessica,F,32117,1994
2281,Ashley,F,30278,1994
2282,Emily,F,24149,1994
2283,Samantha,F,22820,1994
2284,Sarah,F,22291,1994
2285,Taylor,F,20733,1994
2286,Brittany,F,18901,1994
2287,Amanda,F,18718,1994
2288,Elizabeth,F,16782,1994
2289,Megan,F,16580,1994
2290,Michael,M,44469,1994
2291,Christopher,M,34800,1994
2292,Matthew,M,33648,1994
2293,Joshua,M,31372,1994
2294,Tyler,M,30477,1994
2295,Brandon,M,29487,1994
2296,Jacob,M,29412,1994
2297,Daniel,M,28060,1994
2298,Nicholas,M,27762,1994
2299,Andrew,M,26009,1994
2300,Jessica,F,27938,1995
2301,Ashley,F,26602,1995
2302,Emily,F,24380,1995
2303,Samantha,F,21644,1995
2304,Sarah,F,21383,1995
2305,Taylor,F,20425,1995
2306,Hannah,F,17010,1995
2307,Brittany,F,16476,1995
2308,Amanda,F,16351,1995
2309,Elizabeth,F,16185,1995
2310,Michael,M,41402,1995
2311,Matthew,M,32875,1995
2312,Christopher,M,32674,1995
2313,Jacob,M,31129,1995
2314,Joshua,M,30718,1995
2315,Nicholas,M,29156,1995
2316,Tyler,M,29154,1995
2317,Brandon,M,26904,1995
2318,Daniel,M,26722,1995
2319,Austin,M,25905,1995
2320,Emily,F,25151,1996
2321,Jessica,F,24198,1996
2322,Ashley,F,23677,1996
2323,Sarah,F,21040,1996
2324,Samantha,F,20548,1996
2325,Taylor,F,19152,1996
2326,Hannah,F,18596,1996
2327,Alexis,F,16589,1996
2328,Rachel,F,16117,1996
2329,Elizabeth,F,15998,1996
2330,Michael,M,38364,1996
2331,Matthew,M,32073,1996
2332,Jacob,M,31925,1996
2333,Christopher,M,30901,1996
2334,Joshua,M,29170,1996
2335,Nicholas,M,27720,1996
2336,Tyler,M,26953,1996
2337,Brandon,M,25846,1996
2338,Austin,M,25660,1996
2339,Andrew,M,25235,1996
2340,Emily,F,25732,1997
2341,Jessica,F,21042,1997
2342,Ashley,F,20896,1997
2343,Sarah,F,20707,1997
2344,Hannah,F,20593,1997
2345,Samantha,F,20169,1997
2346,Taylor,F,19502,1997
2347,Alexis,F,17170,1997
2348,Elizabeth,F,15423,1997
2349,Madison,F,15188,1997
2350,Michael,M,37549,1997
2351,Jacob,M,34153,1997
2352,Matthew,M,31514,1997
2353,Christopher,M,29105,1997
2354,Joshua,M,28284,1997
2355,Nicholas,M,27257,1997
2356,Andrew,M,25199,1997
2357,Brandon,M,25193,1997
2358,Austin,M,25117,1997
2359,Tyler,M,24876,1997
2360,Emily,F,26182,1998
2361,Hannah,F,21373,1998
2362,Samantha,F,20192,1998
2363,Sarah,F,19884,1998
2364,Ashley,F,19873,1998
2365,Alexis,F,19778,1998
2366,Taylor,F,18572,1998
2367,Jessica,F,18235,1998
2368,Madison,F,17787,1998
2369,Elizabeth,F,15187,1998
2370,Michael,M,36615,1998
2371,Jacob,M,36016,1998
2372,Matthew,M,31142,1998
2373,Joshua,M,28089,1998
2374,Christopher,M,27002,1998
2375,Nicholas,M,26634,1998
2376,Brandon,M,23829,1998
2377,Tyler,M,23711,1998
2378,Andrew,M,23658,1998
2379,Austin,M,23477,1998
2380,Emily,F,26539,1999
2381,Hannah,F,21676,1999
2382,Alexis,F,19234,1999
2383,Sarah,F,19104,1999
2384,Samantha,F,19038,1999
2385,Ashley,F,18136,1999
2386,Madison,F,18053,1999
2387,Taylor,F,16905,1999
2388,Jessica,F,16348,1999
2389,Elizabeth,F,15345,1999
2390,Jacob,M,35363,1999
2391,Michael,M,33912,1999
2392,Matthew,M,30415,1999
2393,Joshua,M,27258,1999
2394,Nicholas,M,25638,1999
2395,Christopher,M,25603,1999
2396,Andrew,M,23855,1999
2397,Joseph,M,23213,1999
2398,Daniel,M,22694,1999
2399,Tyler,M,22665,1999
2400,Emily,F,25956,2000
2401,Hannah,F,23082,2000
2402,Madison,F,19968,2000
2403,Ashley,F,17997,2000
2404,Sarah,F,17702,2000
2405,Alexis,F,17629,2000
2406,Samantha,F,17265,2000
2407,Jessica,F,15709,2000
2408,Elizabeth,F,15099,2000
2409,Taylor,F,15078,2000
2410,Jacob,M,34477,2000
2411,Michael,M,32037,2000
2412,Matthew,M,28573,2000
2413,Joshua,M,27537,2000
2414,Christopher,M,24932,2000
2415,Nicholas,M,24652,2000
2416,Andrew,M,23641,2000
2417,Joseph,M,22831,2000
2418,Daniel,M,22319,2000
2419,Tyler,M,21504,2000
2420,Emily,F,25057,2001
2421,Madison,F,22164,2001
2422,Hannah,F,20716,2001
2423,Ashley,F,16527,2001
2424,Alexis,F,16402,2001
2425,Sarah,F,15899,2001
2426,Samantha,F,15864,2001
2427,Abigail,F,14807,2001
2428,Elizabeth,F,14786,2001
2429,Olivia,F,13977,2001
2430,Jacob,M,32545,2001
2431,Michael,M,29683,2001
2432,Matthew,M,26808,2001
2433,Joshua,M,26015,2001
2434,Christopher,M,23126,2001
2435,Nicholas,M,22845,2001
2436,Andrew,M,22411,2001
2437,Joseph,M,22011,2001
2438,Daniel,M,20989,2001
2439,William,M,20101,2001
2440,Emily,F,24464,2002
2441,Madison,F,21773,2002
2442,Hannah,F,18822,2002
2443,Emma,F,16540,2002
2444,Alexis,F,15636,2002
2445,Ashley,F,15344,2002
2446,Abigail,F,15298,2002
2447,Sarah,F,14760,2002
2448,Samantha,F,14666,2002
2449,Olivia,F,14629,2002
2450,Jacob,M,30574,2002
2451,Michael,M,28245,2002
2452,Joshua,M,25993,2002
2453,Matthew,M,25153,2002
2454,Ethan,M,22109,2002
2455,Andrew,M,22019,2002
2456,Joseph,M,21895,2002
2457,Christopher,M,21684,2002
2458,Nicholas,M,21390,2002
2459,Daniel,M,21316,2002
2460,Emily,F,25691,2003
